num_cidades,tempo_ms,memoria_kb,custo
4,0,0,283
5,0,0,684
6,0,0,576
8,0,0,611
9,0,0,582
11,0,0,595
13,0,0,688
16,0,0,791
19,0,0,863
23,0,0,1004
